,id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName,sum
0,15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt,Casual Navy Blue Shirts Fall
1,39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Peter England Men Party Blue Jeans,Casual Blue Jeans Summer
2,21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,Manchester United Men Solid Black Track Pants,Casual Black Track Pants Fall
3,53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt,Casual Grey Tshirts Summer
4,1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt,Casual Grey Tshirts Summer
5,30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt,Ethnic Green Shirts Summer
6,26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,Jealous 21 Women Purple Shirt,Casual Purple Shirts Summer
7,9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Casual Black Casual Shoes Summer
8,18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual,Fila Men Cush Flex Black Slippers,Casual Black Flip Flops Fall
9,46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Casual,Ben 10 Boys Navy Blue Slippers,Casual Navy Blue Flip Flops Fall
10,12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts,Formal Purple Shirts Fall
11,42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual,Gini and Jony Girls Knit White Top,Casual White Tops Summer
12,51832,Women,Apparel,Innerwear,Bra,Beige,Summer,Casual,Bwitch Beige Full-Coverage Bra BW335,Casual Beige Bra Summer
13,12967,Men,Footwear,Sandal,Sandals,Black,Fall,Casual,ADIDAS Men Spry M Black Sandals,Casual Black Sandals Fall
14,13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Sports Grey Sweatshirts Fall
15,9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,Buckaroo Men Flores Black Formal Shoes,Formal Black Formal Shoes Winter
16,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt,Sports Navy Blue Tshirts Fall
17,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt,Formal Navy Blue Shirts Summer
18,4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Casual Green Tshirts Summer
19,56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt,Casual Brown Shirts Summer
20,39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual,Gas Men Europa White Shoes,Casual White Casual Shoes Winter
21,59051,Women,Footwear,Shoes,Flats,Black,Winter,Casual,Carlton London Women Black & Gold Toned Flats,Casual Black Flats Winter
22,20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Diva Women Embroided Green Kurta,Ethnic Green Kurtas Fall
23,3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt,Casual Pink Tshirts Summer
24,2886,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Catwalk Women Leather Brown Flats,Casual Brown Flats Winter
25,28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,W Women Printed Beige Kurta,Ethnic Beige Kurtas Summer
26,8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual,Scullers Men  Grey Waistcoat,Casual Grey Waistcoat Fall
27,3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Nike Men's Incinerate MSL White Blue Shoe,Sports White Sports Shoes Fall
